>>>
>>>
>>>
>>> from main import *
I2C devices: ['0x1e', '0x68']
MPU6050 OK @ 0x68  [+/-8g, +/-2000dps, 50Hz]
HMC5883L OK @ 0x1E  [+/-1.3Ga, 15Hz, 8-avg]
# Ready. 9-channel HAR firmware.
#   test()               — single reading
#   calibrate_mag(sec)   — mag ellipsoid data collection
#   collect('label', sec)  — activity data collection
>>>
calibrate_mag(60)
# MAG_CALIB 60s 3000samples
# sample,mx,my,mz
355,7.3394,27.0642,4.6789
356,0.8257,27.6147,0.0917
357,0.8257,27.6147,0.0917
358,0.8257,27.6147,0.0917
359,-6.6972,25.7798,-2.2018
360,-6.6972,25.7798,-2.2018
361,-6.6972,25.7798,-2.2018
362,-12.9358,22.1101,-3.0275
363,-12.9358,22.1101,-3.0275
364,-12.9358,22.1101,-3.0275
365,-12.9358,22.1101,-3.0275
366,-16.2385,17.7064,-7.1560
367,-16.2385,17.7064,-7.1560
368,-16.2385,17.7064,-7.1560
369,-17.2477,13.3028,-11.6514
370,-17.2477,13.3028,-11.6514
371,-17.2477,13.3028,-11.6514
372,-16.7890,10.3670,-15.1376
373,-16.7890,10.3670,-15.1376
374,-16.7890,10.3670,-15.1376
375,-16.7890,10.3670,-15.1376
376,-17.2477,9.0826,-15.6881
377,-17.2477,9.0826,-15.6881
378,-17.2477,9.0826,-15.6881
379,-18.7156,9.0826,-14.2202
380,-18.7156,9.0826,-14.2202
381,-18.7156,9.0826,-14.2202
382,-20.8257,8.6239,-12.4771
383,-20.8257,8.6239,-12.4771
384,-20.8257,8.6239,-12.4771
385,-20.8257,8.6239,-12.4771
386,-23.2110,6.7890,-10.1835
387,-23.2110,6.7890,-10.1835
388,-23.2110,6.7890,-10.1835
389,-26.5138,1.7431,-5.5963
390,-26.5138,1.7431,-5.5963
391,-26.5138,1.7431,-5.5963
392,-27.8899,-5.0459,-2.1101
393,-27.8899,-5.0459,-2.1101
394,-27.8899,-5.0459,-2.1101
395,-27.8899,-5.0459,-2.1101
396,-27.3394,-12.5688,-0.1835
397,-27.3394,-12.5688,-0.1835
398,-27.3394,-12.5688,-0.1835
399,-24.0367,-21.3761,0.0917
400,-24.0367,-21.3761,0.0917
401,-24.0367,-21.3761,0.0917
402,-17.7982,-29.8165,-1.0092
403,-17.7982,-29.8165,-1.0092
404,-17.7982,-29.8165,-1.0092
405,-17.7982,-29.8165,-1.0092
406,-9.5413,-35.7798,-3.0275
407,-9.5413,-35.7798,-3.0275
408,-9.5413,-35.7798,-3.0275
409,-0.9174,-38.3486,-5.4128
410,-0.9174,-38.3486,-5.4128
411,-0.9174,-38.3486,-5.4128
412,8.3486,-38.2569,-8.2569
413,8.3486,-38.2569,-8.2569
414,8.3486,-38.2569,-8.2569
415,8.3486,-38.2569,-8.2569
416,18.8991,-32.7523,-13.8532
417,18.8991,-32.7523,-13.8532
418,18.8991,-32.7523,-13.8532
419,24.6789,-26.8807,-16.0550
420,24.6789,-26.8807,-16.0550
421,24.6789,-26.8807,-16.0550
422,27.5229,-21.2844,-17.8899
423,27.5229,-21.2844,-17.8899
424,27.5229,-21.2844,-17.8899
425,27.5229,-21.2844,-17.8899
426,28.2569,-16.6055,-19.3578
427,28.2569,-16.6055,-19.3578
428,28.2569,-16.6055,-19.3578
429,27.5229,-13.1193,-21.1009
